Category1,Category2,Category3,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug
A,J,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8356,5426,5104,3338,3860,4553,3303,3646,5004,3793,2689,4804,1330,1088,1392,1584,1513,1638,1522,963,858,496,981,2117,865,634,827,548,395,449,317,369,374,366,410,770,294,294,351,343,146,148,212,232
A,J,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596243,402317,350688,270158,254965,307134,228273,212722,246761,140621,200116,553180,148895,127370,140275,88023,86375,104980,74210,61301,60149,42747,91559,175167,45600,45463,44918,36198,41898,38541,30137,29113,31160,21895,35849,87835,23127,21538,23135,16088,18996,25103,18842,16795
A,J,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,45,15,37,40,50,112,52,32,47,102,52,35,5,30,30,35,15,15,22,20,15,25,25,35,25,25,32,40,47,37,27,12,30,57,67,17,30,20,5,2,0,0
A,J,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79542,49788,50495,33352,16706,16237,12214,13223,19785,11344,10230,48286,10920,10997,13121,8024,7077,7779,5611,5946,6228,5509,7506,19393,6661,5827,6595,5284,5987,9736,5084,4382,4606,3100,2254,4970,2581,1977,2503,1687,1568,1874,1486,1433
A,J,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,115,102,48,99,99,56,54,80,72,94,367,126,97,97,46,38,46,32,40,29,13,35,166,38,5,0,0,0,0,8,0,0,0,0,0,0,5,3,0,5,67,43,110
A,J,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547673,441327,522015,426530,375404,527078,510054,454244,576752,381178,661861,1140783,344769,346569,349344,226023,211591,285595,237281,238448,252985,230065,384977,471503,211432,239573,301226,218177,297211,346602,267271,297512,286286,204212,223081,344647,140520,162530,174126,126515,134763,148293,132033,121968
A,J,Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8344822,6280712,6686755,4767463,5237606,6221126,4950664,5192204,5640221,4685226,9785897,20693764,6102115,7016861,7190829,4833608,4964598,6350971,5461088,5739045,6022256,4710683,8081773,16608735,5084529,5905329,6137483,3723488,4223626,5221406,3778085,3958108,4545341,3120690,5561568,11865908,3610317,3943329,4209074,3120635,3340163,4159321,3088174,3294676
A,J,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030047,906961,1048029,761274,849690,1051529,829458,1044294,1223909,847141,1664736,3333952,1178542,1166621,1285317,851945,868117,1123856,961589,1221917,1329070,827560,1426278,2895414,956121,1041897,1060425,685521,855400,965861,679264,893995,898593,618578,944571,2090540,916104,829981,900727,787584,752323,893719,608888,796949
A,J,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056256,1530995,1470776,1141700,1137906,1387395,1177646,1335760,1401593,968364,1362726,2579011,1241534,1292374,1469634,1020095,972509,1259844,1124375,1285436,1346034,851206,1060618,2111438,1029733,1116410,1260396,800061,820318,1036405,865358,1007647,1054007,879777,963612,1780864,953378,921021,1008353,777622,733045,868612,793984,1040932
A,J,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10870,2444,2848,2036,9799,3405,4848,4413,4899,2475,16891,5998,9618,11101,10713,8241,7669,7912,11901,13243,17287,16004,16707,21324,15188,15871,19409,12792,14071,18283,15361,18201,22991,14447,12572,33331,28671,29930,39277,37532,36449,46468,36555,39925
A,J,A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452149,1760290,1822385,1234213,1286824,1489173,1191692,1228810,1321845,966910,1706614,4102755,1361604,1573912,1607252,1091670,1116014,1388570,1163805,1312008,1377438,919504,1194375,2761027,1071478,1178432,1298432,815212,854217,1029586,751740,815446,955744,634909,841405,1969619,741261,758907,885997,662428,676365,834847,620931,711974
